filename,category,tags,description,permalink,year
BMV-9329.jpg,,,"Johann Peter Krafft, Kopfstudie zu ""Rückkehr des Kaisers Franz aus Pressburg"", 1828, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10143,1828
BMV-9332.jpg,,,"Johann Peter Krafft, Studie zu ""Manfreds Sterbestunde"", 1825, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10146,1825
BMV-9348.jpg,,,"Johann Peter Krafft, Studie zum ""Einzug nach dem Pariser Frieden"", 1828, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10213,1828
BMV-9358.jpg,,,"Johann Peter Krafft, Pferdestudie zu ""Rüdiger und Angelika"", 1842, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10223,1842
BMV-9359c.jpg,,,"Johann Peter Krafft, Fußstudie zu ""Rüdiger und Angelika"", 1842, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10632,1842
BMV-9375.jpg,,,"Johann Peter Krafft, Studie zu ""Ossian und Malvina"", 1821, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10240,1821
BMV-9382b.jpg,,,"Johann Peter Krafft, Handstudie zu ""Ossian und Malvina"", 1821, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10634,1821
BMV-9477.jpg,,,"Johann Peter Krafft, Julie Krafft, 1840, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10344,1840
BMV-9481.jpg,,,"Johann Peter Krafft, Studie eines Hasen, 1815, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10348,1815
BMV-9497.jpg,,,"Johann Peter Krafft, Hundestudie zur ""Heimkehr des Landwehrmannes"" (1820), 1820, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/10365,1820
BMV-9901.jpg,,,"Franz Christoph Janneck, Darbringung im Tempel, 1758, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/17171,1758
BMV-BB_1012-002.jpg,,,"Jeremias Jakob Sedelmayr, Glorifikation des Prinzen Eugen, 1731, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/17424,1731
BMV-BB_1012-019.jpg,,,"Salomon Kleiner, Bilderkabinett, 1733, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/17448,1733
BMV-BB_1012-038.jpg,,,"Salomon Kleiner, Grosses Gesellschaftszimmer im Westflügel, 1735, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/17464,1735
BMV-BB_1012-070.jpg,,,"Salomon Kleiner, Prospekt eines runden Bosketts, 1737, Belvedere Museum Wien",https://sammlung.belvedere.at/objects/17487,1737
NGP-K1034.jpg,,,"F, Studie ležícího dítěte k obrazu Madona adorující dítě, 1822 - 1823, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_1034,1822
